paper_row	paper	parent_row	parent	score	reference
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	39	Bi-directional adapter for multimodal tracking	1.000	[4] Bing Cao, Junliang Guo, Pengfei Zhu, and Qinghua Hu. Bi- 1864, 2017. 5, 6 directional adapter for multimodal tracking. In AAAI, pages
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	100	Challenge-aware RGBT tracking	1.000	[22] Chenglong Li, Lei Liu, Andong Lu, Qing Ji, and Jin Tang. tion. In CVPR, pages 13608–13618, 2022. 2, 5 Challenge-aware rgbt tracking. In ECCV, pages 222–237.
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	87	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	1.000	[6] Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Springer, 2020. 2 Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Syl- [23] Chenglong Li, Wanlin Xue, Yaqing Jia, Zhichen Qu, Bin vain Gelly, et al. An image is worth 16x16 words: Trans- Luo, Jin Tang, and Dengdi Sun. Lasher: A large-scale high- formers for image recognition at scale. In ICLR, 2021. 5 diversity benchmark for rgbt tracking. TIP, 31:392–404,
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	68	Bridging search region interaction with template for RGB-T tracking	1.000	[16] Tianrui Hui, Zizheng Xun, Fengguang Peng, Junshi Huang, [32] Matthias Muller, Adel Bibi, Silvio Giancola, Salman Al- Xiaoming Wei, Xiaolin Wei, Jiao Dai, Jizhong Han, and Si subaihi, and Bernard Ghanem. Trackingnet: A large-scale Liu. Bridging search region interaction with template for dataset and benchmark for object tracking in the wild. In rgb-t tracking. In CVPR, pages 13630–13639, 2023. 2, 5, 6 ECCV, pages 300–317, 2018. 6
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	95	Jointly modeling motion and appearance cues for robust RGB-T tracking	1.000	[37] Dengdi Sun, Yajie Pan, Andong Lu, Chenglong Li, and Bin Huchuan Lu, and Xiaoyun Yang. Jointly modeling motion Luo. Transformer rgbt tracking with spatio-temporal mul- and appearance cues for robust rgb-t tracking. TIP, 30:3335– timodal tokens. TCSVT, 34(11 Part 2):12059–12072, 2024. 3347, 2021. 2 6 [49] Pengyu Zhang, Jie Zhao, Dong Wang, Huchuan Lu, and
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	85	Visible-thermal UAV tracking: A large-scale benchmark and new baseline	1.000	[38] Antti Tarvainen and Harri Valpola. Mean teachers are better Xiang Ruan. Visible-thermal uav tracking: A large-scale role models: Weight-averaged consistency targets improve benchmark and new baseline. In CVPR, pages 8886–8895, semi-supervised deep learning results. NeurIPS, 30, 2017. 3 2022. 6
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	41	Temporal adaptive rgbt tracking with modality prompt	1.000	[40] Hongyu Wang, Xiaotao Liu, Yifan Li, Meng Sun, Dian Yuan, [51] Xin Zhang and Ying-Cong Chen. Adaptive domain general- and Jing Liu. Temporal adaptive rgbt tracking with modality ization via online disagreement minimization. TIP, 32:4247– prompt. In AAAI, pages 5436–5444, 2024. 2, 6 4258, 2023. 2, 3
24	PURA: Parameter Update-Recovery Test-Time Adaption for RGB-T Tracking	70	Visual prompt multi-modal tracking	1.000	[43] Svante Wold, Kim Esbensen, and Paul Geladi. Principal telligence, 1(1):29, 2023. 1 component analysis. Chemometrics and intelligent labora- [54] Jiawen Zhu, Simiao Lai, Xin Chen, Dong Wang, and tory systems, 2(1-3):37–52, 1987. 4 Huchuan Lu. Visual prompt multi-modal tracking. In CVPR, pages 9516–9526, 2023. 2, 6 22098
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	43	SDSTrack: Self-Distillation Symmetric Adapter Learning for Multi-Modal Visual Object Tracking	1.000	[5] Xin Chen, Houwen Peng, Dong Wang, Huchuan Lu, and Han Jiang, Liang Liu, et al. Sdstrack: Self-distillation symmetric Hu. Seqtrack: Sequence to sequence learning for visual ob- adapter learning for multi-modal visual object tracking. In ject tracking. In CVPR, 2023. 1, 2, 7 CVPR, 2024. 2, 5, 6, 7
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	18	Exploiting multimodal spatial-temporal patterns for video object tracking	1.000	[22] Xiantao Hu, Ying Tai, Xu Zhao, Chen Zhao, Zhenyu Zhang, Liu, Dong Wang, and Huchuan Lu. Sutrack: Towards Jun Li, Bineng Zhong, and Jian Yang. Exploiting multimodal simple and unified single object tracking. arXiv preprint spatial-temporal patterns for video object tracking. arXiv arXiv:2412.19138, 2024. 2, 5, 6, 7 preprint arXiv:2412.15691, 2024. 2, 5, 6, 7
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	100	Challenge-aware RGBT tracking	1.000	[16] Shenyuan Gao, Chunluan Zhou, Chao Ma, Xinggang Wang, [30] Chenglong Li, Lei Liu, Andong Lu, Qing Ji, and Jin Tang. and Junsong Yuan. Aiatrack: Attention in attention for trans- Challenge-aware RGBT tracking. In ECCV, 2020. 6 former visual tracking. In ECCV. Springer, 2022. 2 [31] Chenglong Li, Wanlin Xue, Yaqing Jia, Zhichen Qu, Bin
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	87	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	1.000	[17] Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Luo, Jin Tang, and Dengdi Sun. Lasher: A large-scale high- Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, and diversity benchmark for rgbt tracking. TIP, 31:392–404, Yoshua Bengio. Generative adversarial networks. Commu- 2021. 1, 5, 6, 7 nications of the ACM, 63(11):139–144, 2020. 2 [32] Wei Li, Zengfu Hou, Jun Zhou, and Ran Tao. Siambag:
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	51	Modality-missing RGBT tracking: Invertible prompt learning and high-quality benchmarks	1.000	[36] Andong Lu, Chenglong Li, Jiacong Zhao, Jin Tang, and [52] Xiao Wang, Shiao Wang, Chuanming Tang, Lin Zhu, Bo Bin Luo. Modality-missing rgbt tracking: Invertible prompt Jiang, Yonghong Tian, and Jin Tang. Event stream-based learning and high-quality benchmarks. IJCV, pages 1–21, visual object tracking: A high-resolution benchmark dataset
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	86	Prompting for multi-modal tracking	1.000	[45] Zhan Tong, Yibing Song, Jue Wang, and Limin Wang. 7 Videomae: Masked autoencoders are data-efficient learners for self-supervised video pre-training. NeurIPS, 35:10078– [61] Jinyu Yang, Zhe Li, Feng Zheng, Ales Leonardis, and 10093, 2022. 4, 7 Jingkuan Song. Prompting for multi-modal tracking. In ACMMM, 2022. 5, 6
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	95	Jointly modeling motion and appearance cues for robust RGB-T tracking	1.000	[65] Pengyu Zhang, Jie Zhao, Chunjuan Bo, Dong Wang, Huchuan Lu, and Xiaoyun Yang. Jointly modeling motion and appearance cues for robust RGB-T tracking. TIP, pages 3335–3347, 2021. 6
27	What You Have is What You Track: Adaptive and Robust Multimodal Tracking	70	Visual prompt multi-modal tracking	1.000	[67] Jiawen Zhu, Simiao Lai, Xin Chen, Dong Wang, and Huchuan Lu. Visual prompt multi-modal tracking. In CVPR,
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	39	Bi-directional adapter for multimodal tracking	1.000	[3] Bing Cao, Junliang Guo, Pengfei Zhu, and Qinghua Hu. Bi- Xin, Junhao Chen, Kai Tang, Mengmeng Wang, Zhengkai directional adapter for multimodal tracking. In AAAI, 2024. Jiang, Liang Liu, et al. Sdstrack: Self-distillation symmetric 2 adapter learning for multi-modal visual object tracking. In
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	68	Bridging search region interaction with template for RGB-T tracking	1.000	[6] Zedu Chen, Bineng Zhong, Guorong Li, Shengping Zhang, Liu. Bridging search region interaction with template for Rongrong Ji, Zhenjun Tang, and Xianxian Li. Siamban: rgb-t tracking. In CVPR, 2023. 2 Target-aware tracking with siamese box adaptive network. [22] Yash Jain, Harkirat Behl, Zsolt Kira, and Vibhav Vineet. TPAMI, 45(4):5158–5173, 2022. 1, 2 Damex: Dataset-aware mixture-of-experts for visual under-
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	83	Attribute-based progressive fusion network for rgbt tracking	1.000	[35] Hongjiao Liu, Jiayue He, Jinpeng Wang, Nan Su, Chunhui [50] Yun Xiao, Mengmeng Yang, Chenglong Li, Lei Liu, and Jin Zhao, Yiming Yan, Shou Feng, Ze Liu, Jianfei Liu, and Zi- Tang. Attribute-based progressive fusion network for rgbt long Zhao. Multi-band hyperspectral object tracking: Lever- tracking. In AAAI, 2022. 6 aging spectral information prompts and spectral scale-aware [51] Fei Xie, Chunyu Wang, Guangting Wang, Yue Cao, Wankou representation. In WHISPERS, 2023. 2 Yang, and Wenjun Zen
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	86	Prompting for multi-modal tracking	1.000	[39] Basil Mustafa, Carlos Riquelme, Joan Puigcerver, Rodolphe arXiv:2203.14134, 2022. 2 Jenatton, and Neil Houlsby. Multimodal contrastive learn- [55] Jinyu Yang, Zhe Li, Feng Zheng, Ales Leonardis, and ing with limoe: the language-image mixture of experts. Jingkuan Song. Prompting for multi-modal tracking. In NeurIPS, 35:9564–9576, 2022. 2, 3 ACMMM, 2022. 3, 6, 7
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	99	Cross-modal pattern-propagation for RGB-T tracking	1.000	[43] Chaoqun Wang, Chunyan Xu, Zhen Cui, Ling Zhou, Tong lix Heide, Baocai Yin, and Xin Yang. Spiking transformers Zhang, Xiaoya Zhang, and Jian Yang. Cross-modal pattern- for event-based single object tracking. In CVPR, 2022. 2 propagation for rgb-t tracking. In CVPR, 2020. 6 [60] Lichao Zhang, Martin Danelljan, Abel Gonzalez-Garcia,
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	95	Jointly modeling motion and appearance cues for robust RGB-T tracking	1.000	[44] Wenhai Wang, Zhe Chen, Xiaokang Chen, Jiannan Wu, Joost Van De Weijer, and Fahad Shahbaz Khan. Multi-modal Xizhou Zhu, Gang Zeng, Ping Luo, Tong Lu, Jie Zhou, Yu fusion for end-to-end rgb-t tracking. In ICCVW, 2019. 6 Qiao, et al. Visionllm: Large language model is also an open- [61] Pengyu Zhang, Jie Zhao, Chunjuan Bo, Dong Wang, ended decoder for vision-centric tasks. NeurIPS, 36, 2024. Huchuan Lu, and Xiaoyun Yang. Jointly modeling motion 5 and appearance cues for robust RGB-T tracking. 
28	XTrack: Multimodal Training Boosts RGB-X Video Object Trackers	70	Visual prompt multi-modal tracking	1.000	[66] Jiawen Zhu, Simiao Lai, Xin Chen, Dong Wang, and Huchuan Lu. Visual prompt multi-modal tracking. In CVPR,
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	90	MFGNet: Dynamic modality-aware filter generation for RGB-T tracking	1.000	[9] P. Zhang, D. Wang, H. Lu, X. Yang, Learning adaptive attribute-driven rep- Our work still has some limitations. First, the UniRTL dataset does resentation for real-time RGB-T tracking, Int. J. Comput. Vis. 129 (2021) not include seasonal data and complexities challenges such as VOS 2714–2729. and MOTS. Second, Unismot exhibits a certain level of dependency [10] Y. Xiao, M. Yang, C. Li, L. Liu, J. Tang, Attribute-based progressive fusion on the dataset because it follows tracking-with-detecti
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	68	Bridging search region interaction with template for RGB-T tracking	1.000	[13] T. Hui, Z. Xun, F. Peng, J. Huang, X. Wei, X. Wei, J. Dai, J. Han, S. Liu, Bridging in: Computer Vision–ECCV, 2022, pp. 375–392. search region interaction with template for RGB-T tracking, in: Proceedings of [39] E. Ristani, F. Solera, R. Zou, R. Cucchiara, C. Tomasi, Performance measures and the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2023, a data set for multi-target, multi-camera tracking, in: Computer Vision–ECCV, pp. 13630–13639. 2016, pp. 17–35.
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	106	Weighted sparse representation regularized graph learning for RGB-T object tracking	1.000	[22] C. Li, N. Zhao, Y. Lu, C. Zhu, J. Tang, Weighted sparse representation regularized image processing. graph learning for RGB-t object tracking, in: Proceedings of the 25th ACM International Conference on Multimedia, 2017, pp. 1856–1864.
33	UniRTL: A universal RGBT and low-light benchmark for object tracking	87	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	1.000	[24] C. Li, W. Xue, Y. Jia, Z. Qu, B. Luo, J. Tang, D. Sun, LasHeR: A large-scale high- diversity benchmark for RGBT tracking, IEEE Trans. Image Process. 31 (2022) Yuzhen Wu received the BS degree from Shanxi University. 392–404. He is currently a Ph.D. student at the School of Optics
34	Prototype-based cross-modal object tracking	49	RGBT Tracking via Challenge-Based Appearance Disentanglement and Interaction	1.000	[61] L. Liu, C. Li, Y. Xiao, R. Ruan, M. Fan, RGBT tracking via challenge-based 1844–1852. appearance disentanglement and interaction, IEEE Trans. Image Process. 33
34	Prototype-based cross-modal object tracking	73	Multi-modal multi-task feature fusion for RGBT tracking	1.000	[38] Y. Cai, X. Sui, G. Gu, Multi-modal multi-task feature fusion for RGBT tracking, International Conference on Multimedia, 2023, pp. 3129–3137. Inf. Fusion 97 (2023) 101816.
34	Prototype-based cross-modal object tracking	70	Visual prompt multi-modal tracking	1.000	[45] J. Zhu, S. Lai, X. Chen, D. Wang, H. Lu, Visual prompt multi-modal tracking, 2019, pp. 5374–5383. in: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern [69] L. Huang, X. Zhao, K. Huang, Got-10k: A large high-diversity benchmark for Recognition, 2023, pp. 9516–9526. generic object tracking in the wild, IEEE Trans. Pattern Anal. Mach. Intell. 43
34	Prototype-based cross-modal object tracking	44	Single-Model and Any-Modality for Video Object Tracking	1.000	[46] Z. Wu, J. Zheng, X. Ren, F.-A. Vasluianu, C. Ma, D.P. Paudel, L. Van Gool, R. (5) (2019) 1562–1577. Timofte, Single-model and any-modality for video object tracking, in: Proceedings [70] T.-Y. Lin, M. Maire, S. Belongie, J. Hays, P. Perona, D. Ramanan, P. Dollár, of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, 2024, C.L. Zitnick, Microsoft coco: Common objects in context, in: Proceedings of the pp. 19156–19166. European Conference on Computer Vision, Springer, 2014, p
34	Prototype-based cross-modal object tracking	39	Bi-directional adapter for multimodal tracking	1.000	[87] B. Cao, J. Guo, P. Zhu, Q. Hu, Bi-directional adapter for multimodal tracking, in: Science and technology, Huaibei Normal University, Anhui, Proceedings of the AAAI Conference on Artificial Intelligence, 2024, pp. 927–935. China. He received his Ph.D. degree in nuclear science and
34	Prototype-based cross-modal object tracking	43	SDSTrack: Self-Distillation Symmetric Adapter Learning for Multi-Modal Visual Object Tracking	1.000	[88] X. Hou, J. Xing, Y. Qian, Y. Guo, S. Xin, J. Chen, K. Tang, M. Wang, Z. Jiang, L. technology from University of Science and Technology of Liu, et al., Sdstrack: Self-distillation symmetric adapter learning for multi-modal China, Hefei, China, in 2016. His current research inter- visual object tracking, in: Proceedings of the IEEE/CVF Conference on Computer ests include object tracking, action recognition, fine-grained Vision and Pattern Recognition, 2024, pp. 26551–26561. image classificati
34	Prototype-based cross-modal object tracking	49	RGBT Tracking via Challenge-Based Appearance Disentanglement and Interaction	1.000	[91] L. Liu, C. Li, Y. Xiao, R. Ruan, M. Fan, Rgbt tracking via challenge-based appearance disentanglement and interaction, IEEE Trans. Image Process. (2024). Jin Tang received the B.Eng. degree in automation and the
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	44	Single-Model and Any-Modality for Video Object Tracking	1.000	[8] Z. Wu et al., “Single-model and any-modality for video object tracking,” [35] R. Shah, R. Martín-Martín, and Y. Zhu, “MUTEX: Learning unified 2023, arXiv:2311.15851. policies from multimodal task specifications,” 2023, arXiv:2309.14320.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	18	Exploiting multimodal spatial-temporal patterns for video object tracking	1.000	[10] X. Hu et al., “Exploiting multimodal spatial-temporal patterns for video for localization, separation, and recognition,” in Proc. Int. Conf. Mach. object tracking,” 2024, arXiv:2412.15691. Learn., PMLR, 2023, pp. 25006–25017.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	40	Generative-based fusion mechanism for multi-modal tracking	1.000	[14] X. An, L. Zhao, C. Gong, N. Wang, D. Wang, and J. Yang, “SHaRPose: [41] Z. Tang, T. Xu, X. Wu, X.-F. Zhu, and J. Kittler, “Generative-based Sparse high-resolution representation for human pose estimation,” Proc. fusion mechanism for multi-modal tracking,” Proc. AAAI Conf. Artif. AAAI Conf. Artif. Intell., vol. 38, no. 2, pp. 691–699, Mar. 2024. Intell., vol. 38, no. 6, pp. 5189–5197, 2024.
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	86	Prompting for multi-modal tracking	1.000	[20] J. Yang, Z. Li, F. Zheng, A. Leonardis, and J. Song, “Prompting for pp. 2980–2988. multi-modal tracking,” in Proc. ACM Multimedia, New York, NY, USA: [47] H. Rezatofighi, N. Tsoi, J. Gwak, A. Sadeghian, I. D. Reid, ACM, 2022, pp. 3492–3500. and S. Savarese, “Generalized intersection over union: A met-
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	43	SDSTrack: Self-Distillation Symmetric Adapter Learning for Multi-Modal Visual Object Tracking	1.000	[21] X. Hou et al., “SDSTrack: Self-distillation symmetric adapter learning ric and a loss for bounding box regression,” in Proc. CVPR, for multi-modal visual object tracking,” 2024, arXiv:2403.16002. Computer Vision Foundation/IEEE, Long Beach, CA, USA, 2019,
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	68	Bridging search region interaction with template for RGB-T tracking	1.000	[22] T. Hui et al., “Bridging search region interaction with template for RGB- pp. 658–666. T tracking,” in Proc. CVPR, Piscataway, NJ, USA: IEEE, 2023, pp. [48] S. Yan, J. Yang, J. Käpylä, F. Zheng, A. Leonardis, and J. Kämäräinen, 13630–13639. “DepthTrack: Unveiling the power of RGBD tracking,” in Proc. ICCV,
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	87	LasHeR: A large-scale high-diversity benchmark for RGBT tracking	1.000	[28] C. Li et al., “LasHeR: A large-scale high-diversity benchmark for RGBT 2021. tracking,” IEEE Trans. Image Process, vol. 31, pp. 392–404, 2022. [54] X. Hu, B. Zhong, Q. Liang, S. Zhang, N. Li, and X. Li, “Towards
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	19	RGBT Tracking via All-layer Multimodal Interactions with Progressive Fusion Mamba	1.000	[60] A. Lu, W. Wang, C. Li, J. Tang, and B. Luo, “RGBT tracking via all- arXiv:2412.13615. layer multimodal interactions with progressive fusion mamba,” 2024, [66] X. Wang et al., “Event stream-based visual object tracking: A high- arXiv:2408.08827. resolution benchmark dataset and a novel baseline,” in Proc. IEEE/CVF
36	Adaptive Perception for Unified Visual Multi-modal Object Tracking	90	MFGNet: Dynamic modality-aware filter generation for RGB-T tracking	1.000	[63] T. Liu, L. Shi, R. Hong, Y. Hu, Q. Yin, and L. Zhang, “Multi-stage vision [69] X. Wang et al., “MFGNet: Dynamic modality-aware filter generation token dropping: Towards efficient multimodal large language model,” for RGB-T tracking,” IEEE Trans. Multimedia, vol. 25, pp. 4335–4348, 2024, arXiv:2411.10803. 2023. Authorized licensed use limited to: Guangdong Univ of Tech. Downloaded on May 22,2026 at 09:37:44 UTC from IEEE Xplore. Restrictions apply.
68	Bridging search region interaction with template for RGB-T tracking	100	Challenge-aware RGBT tracking	1.000	2016. 5 [20] Chenglong Li, Lei Liu, Andong Lu, Qing Ji, and Jin Tang. Challenge-aware rgbt tracking. In ECCV, 2020. 3, 6
68	Bridging search region interaction with template for RGB-T tracking	99	Cross-modal pattern-propagation for RGB-T tracking	1.000	[37] Chaoqun Wang, Chunyan Xu, Zhen Cui, Ling Zhou, Tong Zhang, Xiaoya Zhang, and Jian Yang. Cross-modal pattern- propagation for rgb-t tracking. In CVPR, 2020. 2, 3, 6, 7
68	Bridging search region interaction with template for RGB-T tracking	83	Attribute-based progressive fusion network for rgbt tracking	1.000	[39] Yun Xiao, Mengmeng Yang, Chenglong Li, Lei Liu, and Jin Tang. Attribute-based progressive fusion network for rgbt tracking. In AAAI, 2022. 2, 3, 5, 6, 7
68	Bridging search region interaction with template for RGB-T tracking	95	Jointly modeling motion and appearance cues for robust RGB-T tracking	1.000	[46] Pengyu Zhang, Jie Zhao, Chunjuan Bo, Dong Wang, Huchuan Lu, and Xiaoyun Yang. Jointly modeling motion and appearance cues for robust rgb-t tracking. TIP, 2021. 3, 6
68	Bridging search region interaction with template for RGB-T tracking	98	Quality-aware feature aggregation network for robust RGBT tracking	1.000	[50] Yabin Zhu, Chenglong Li, Jin Tang, and Bin Luo. Quality- aware feature aggregation network for robust rgbt tracking. TIV, 2020. 6
68	Bridging search region interaction with template for RGB-T tracking	89	RGBT Tracking by Trident Fusion Network	1.000	[51] Yabin Zhu, Chenglong Li, Jin Tang, Bin Luo, and Liang Wang. Rgbt tracking by trident fusion network. TCSVT,
94	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	99	Cross-modal pattern-propagation for RGB-T tracking	1.000	"[5] C. Wang, C. Xu, Z. Cui, L. Zhou, T. Zhang, X. Zhang, Weijer, and F. Shahbaz Khan, ""Multi-modal fusion for and J. Yang, ""Cross-modal pattern-propagation for rgb-t end-to-end rgb-t tracking,"" in ICCVW, 2019. tracking,"" in CVPR, 2020. [20] C. Guo, D. Yang, C. Li, and P. Song, ""Dual siamese"
94	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	91	Multimodal cross-layer bilinear pooling for RGBT tracking	1.000	"[6] Q. Xu, Y. Mei, J. Liu, and C. Li, ""Multimodal cross- network for rgbt tracking via fusing predicted position layer bilinear pooling for rgbt tracking,"" TMM, 2021. maps,"" The Visual Computer, 2021."
94	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	89	RGBT Tracking by Trident Fusion Network	1.000	"[7] Y. Zhu, C. Li, J. Tang, B. Luo, and L. Wang, ""Rgbt ""Alpha-refine: Boosting tracking performance by pre- tracking by trident fusion network,"" TCSVT, 2021. cise bounding box estimation,"" in CVPR, 2021."
94	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	102	Dense feature aggregation and pruning for RGBT tracking	1.000	"[9] P. Zhang, D. Wang, H. Lu, and X. Yang, ""Learn- [23] Y. Zhu, C. Li, B. Luo, J. Tang, and X. Wang, ""Dense ing adaptive attribute-driven representation for real-time feature aggregation and pruning for rgbt tracking,"" in rgb-t tracking,"" IJCV, 2021. ACM MM, 2019."
94	Mirnet: A robust RGBT tracking jointly with multi-modal interaction and refinement	107	Learning collaborative sparse representation for grayscale-thermal tracking	1.000	"[10] H. Zhang, L. Zhang, L. Zhuo, and J. Zhang, ""Ob- [24] C. Li, H. Cheng, S. Hu, X. Liu, J. Tang, and ject tracking in rgb-t videos using modal-aware attention L. Lin, ""Learning collaborative sparse representation network and competitive learning,"" Sensors, 2020. for grayscale-thermal tracking,"" TIP, 2016."
100	Challenge-aware RGBT tracking	107	Learning collaborative sparse representation for grayscale-thermal tracking	1.000	4. Li, C., Cheng, H., Hu, S., Liu, X., Tang, J., Lin, L.: Learning collaborative sparse representation for grayscale-thermal tracking. IEEE Trans. Image Process. 25(12), 5743–5756 (2016)
