row	year	venue	type	paper	status	score	source	matched_year	matched_venue	matched_title	url	errors
104	2019	ICCV	RGB-T	Multi-modal fusion for end-to-end RGB-T tracking	FOUND	1.000	DBLP	2019	ICCV Workshops	Multi-Modal Fusion for End-to-End RGB-T Tracking	https://dblp.org/rec/conf/iccvw/ZhangDGWK19	query_openalex:AttributeError
105	2019	PR	RGB-T	RGBT object tracking: Benchmark and baseline	FOUND	1.000	Crossref	2019	Pattern Recognition	RGB-T object tracking: Benchmark and baseline	https://doi.org/10.1016/j.patcog.2019.106977	
106	2019	ACM MM	RGB-T	Dense feature aggregation and pruning for RGBT tracking	FOUND	1.000	DBLP	2019	ACM Multimedia	Dense Feature Aggregation and Pruning for RGBT Tracking	https://dblp.org/rec/conf/mm/Zhu00T019	query_openalex:AttributeError
107	2017	ACM MM	RGB-T	Weighted sparse representation regularized graph learning for RGB-T object tracking	FOUND	1.000	DBLP	2017	ACM Multimedia	Weighted Sparse Representation Regularized Graph Learning for RGB-T Object Tracking	https://dblp.org/rec/conf/mm/LiZLZT17	query_openalex:AttributeError
108	2016	TIP	RGB-T	Learning collaborative sparse representation for grayscale-thermal tracking	FOUND	1.000	OpenAlex	2016	IEEE Transactions on Image Processing	Learning Collaborative Sparse Representation for Grayscale-Thermal Tracking	https://doi.org/10.1109/tip.2016.2614135	
109	2016	MMM	RGB-T	Real-time grayscale-thermal tracking via laplacian sparse representation	FOUND	1.000	OpenAlex	2015	Lecture notes in computer science	Real-Time Grayscale-Thermal Tracking via Laplacian Sparse Representation	https://doi.org/10.1007/978-3-319-27674-8_6	
110	2012	CVIU	RGB-T	An iterative integrated framework for thermal–visible image registration, sensor fusion, and people tracking for video surveillance applications	FOUND	1.000	OpenAlex	2011	Computer Vision and Image Understanding	An iterative integrated framework for thermal–visible image registration, sensor fusion, and people tracking for video surveillance applications	https://doi.org/10.1016/j.cviu.2011.10.006	
111	2012	Sci. China Inf. Sci.	RGB-T	Fusion tracking in color and infrared images using joint sparse representation	FOUND	1.000	OpenAlex	2012	Science China Information Sciences	Fusion tracking in color and infrared images using joint sparse representation	https://doi.org/10.1007/s11432-011-4536-9	query_dblp:TimeoutError
112	2011	FUSION	RGB-T	Multiple source data fusion via sparse representation for robust visual tracking	FOUND	1.000	DBLP	2011	FUSION	Multiple source data fusion via sparse representation for robust visual tracking	https://dblp.org/rec/conf/fusion/WuBCBL11	query_openalex:AttributeError
113	2010	MVA	RGB-T	Pedestrian tracking by fusion of thermal-visible surveillance videos	FOUND	1.000	OpenAlex	2008	Machine Vision and Applications	Pedestrian tracking by fusion of thermal-visible surveillance videos	https://doi.org/10.1007/s00138-008-0176-5	
114	2008	MVA	RGB-T	Thermo-visual feature fusion for object tracking using multiple spatiogram trackers	FOUND	1.000	DBLP	2008	Mach. Vis. Appl.	Thermo-visual feature fusion for object tracking using multiple spatiogram trackers	https://dblp.org/rec/journals/mva/ConaireOS08	query_openalex:AttributeError
115	2007	CVPR	RGB-T	The effect of pixel-level fusion on object tracking in multi-sensor surveillance video	FOUND	1.000	DBLP	2007	CVPR	The Effect of Pixel-Level Fusion on Object Tracking in Multi-Sensor Surveillance Video	https://dblp.org/rec/conf/cvpr/CvejicNKLABC07	query_openalex:AttributeError
116	2007	WACV	RGB-T	Geodesic active contour based fusion of visible and infrared video for persistent object tracking	FOUND	1.000	DBLP	2007	WACV	Geodesic Active Contour Based Fusion of Visible and Infrared Video for Persistent Object Tracking	https://dblp.org/rec/conf/wacv/BunyakPNS07	query_openalex:AttributeError
117	2006	FUSION	RGB-T	Comparison of fusion methods for thermo-visual surveillance tracking	FOUND	1.000	DBLP	2006	FUSION	Comparison of Fusion Methods for Thermo-Visual Surveillance Tracking	https://dblp.org/rec/conf/fusion/ConaireOCS06	query_openalex:AttributeError
